All,ಎಲ್ಲಾ
"Coupon Code","ಕೂಪನ್ ಸಂಕೇತ"
"Item SKU %1 %2 ","ವಸ್ತು SKU %1 %2 "
"Items Quantity","ವಸ್ತುವಿನ ಪರಿಮಾಣ"
"Number of Items","ವಸ್ತುಗಳ ಸಂಖ್ಯೆ"
"Number of wish list items %1 %2 ","ಇಚ್ಛಾಪಟ್ಟಿ ವಸ್ತುಗಳ ಸಂಖ್ಯೆ %1 %2 "
"Wish List %1 shared","ಇಚ್ಛಾಪಟ್ಟಿ %1 ಹಂಚಿಕೆಯಾಗಿದೆ"
text,ಪಠ್ಯ
Interval,ವಿರಾಮ
"New Accounts","ಹೊಸ ಖಾತೆಗಳು"
"Date Used","ಬಳಸಿದ ದಿನಾಂಕ"
"Empty Rows","ಖಾಲಿ ಸಾಲುಗಳು"
"Invalid date specified","ಅಸಿಂಧುವಾದ ದಿನಾಂಕವನ್ನು ಸೂಚಿಸಲಾಗಿದೆ"
Refresh,ತಾಜಾಗೊಳಿಸಿ
"Products Report","ಉತ್ಪನ್ನಗಳ ವರದಿ"
Purchases,ಖರೀದಿಗಳು
"Products Ordered","ವ್ಯಾಪಾರಾದೇಶಿಸಿದ ಉತ್ಪನ್ನಗಳು"
"Most Viewed","ಹೆಚ್ಚು ವೀಕ್ಷಿಸಿದ"
"Show Report","ವರದಿ ಪ್ರದರ್ಶಿಸಿ"
"Customers Reviews","ಗ್ರಾಹಕರ ವಿಮರ್ಶೆಗಳು"
"Reviews for %1","ವಿಮರ್ಶೆಗಳು %1 ಕ್ಕಾಗಿ"
Detail,ವಿವರ
"Products Reviews","ಉತ್ಪನ್ನದ ವಿಮರ್ಶೆಗಳು"
"Order Quantity","ವ್ಯಾಪಾರಾದೇಶದ ಪರಿಮಾಣ"
"Coupons Usage Report","ಕೂಪನ್‍ಗಳ ಬಳಕೆಯ ವರದಿ"
"Price Rule","ಬೆಲೆಯ ನಿಯಮ"
"My Requisition Lists","ನನ್ನ ಬೇಡಿಕೆ ಪಟ್ಟಿಗಳು"
"We can't update your requisition list right now.","ನಾವು ಸಧ್ಯಕ್ಕೆ ಬೇಡಿಕೆ ಪಟ್ಟಿಯನ್ನು ಪರಿಷ್ಕರಿಸಲಾಗಲಿಲ್ಲ."
"We can't add the item to the Requisition List right now: %1.","ಈ ವಸ್ತುವನ್ನು ನಿಮ್ಮ ಬೇಡಿಕೆ ಪಟ್ಟಿಗೆ ಸೇರಿಸಲು ಸಧ್ಯಕ್ಕೆ ನಮಗೆ ಸಾಧ್ಯವಾಗುತ್ತಿಲ್ಲ: %1."
"You added %1 item(s) to your shopping cart.","ನೀವು ನಿಮ್ಮ ಶಾಪಿಂಗ್ ಬುಟ್ಟಿಗೆ %1 ಉತ್ಪನ್ನ(ಗಳ) ವನ್ನು ಸೇರಿಸಿದ್ದೀರಿ."
"Invalid request, please try again.","ಅಸಿಂಧುವಾದ ಕೋರಿಕೆ, ದಯವಿಟ್ಟು ಮತ್ತೆ ಪ್ರಯತ್ನಿಸಿ."
"Product with requested SKU could not be found.","ವಿನಂತಿಸಿದ SKU ಜೊತೆಗಿನ ಉತ್ಪನ್ನ ಕಂಡುಬಂದಿಲ್ಲ."
"The product",ಉತ್ಪನ್ನ
"%1 could not be added to the ""%2"" requisition list.","""%2"" ಬೇಡಿಕೆ ಪಟ್ಟಿಗೆ %1 ಅನ್ನು ಸೇರಿಸಲಾಗಲಿಲ್ಲ."
"%1 could not be added to the requisition list.","ಬೇಡಿಕೆ ಪಟ್ಟಿಗೆ %1 ಅನ್ನು ಸೇರಿಸಲಾಗಲಿಲ್ಲ."
"We can't configure the product right now.","ನಾವು ಸಧ್ಯಕ್ಕೆ ಉತ್ಪನ್ನವನ್ನು ಸಂರಚಿಸಲಾಗುವುದಿಲ್ಲ."
"%1 item(s) were copied to %2","%1 ವಸ್ತು(ಗಳ) ವನ್ನು %2 ಕ್ಕೆ ನಕಲಿಸಲಾಗಿದೆ"
"%1 item(s) were added to the ""%2""","%1 ವಸ್ತು(ಗಳ) ವನ್ನು %2 ಕ್ಕೆ ಸೇರಿಸಲಾಗಿದೆ"
"%1 item(s) were moved to %2","%1 ವಸ್ತು(ಗಳ) ವನ್ನು %2 ಕ್ಕೆ ಸರಿಸಲಾಗಿದೆ"
"The requisition list does not exist.","ಬೇಡಿಕೆ ಪಟ್ಟಿ ಅಸ್ತಿತ್ವದಲ್ಲಿಲ್ಲ."
"All items in your Shopping Cart could not be added to the ""%1"" requisition list.","ಶಾಪಿಂಗ್ ಬುಟ್ಟಿಯಲ್ಲಿರುವ ಎಲ್ಲಾ ವಸ್ತುಗಳನ್ನು ""%1"" ಬೇಡಿಕೆ ಪಟ್ಟಿಗೆ ಸೇರಿಸಲಾಗಿಲ್ಲ."
"Requisition Lists","ಬೇಡಿಕೆ ಪಟ್ಟಿಗಳು"
"Requisition List","ಬೇಡಿಕೆ ಪಟ್ಟಿ"
"Could not save Requisition List","ಬೇಡಿಕೆ ಪಟ್ಟಿಯನ್ನು ಉಳಿಸಲಾಗಲಿಲ್ಲ"
"Cannot delete Requisition List with id %1","%1 ಐಡಿ ಜೊತೆಗಿನ ಬೇಡಿಕೆ ಪಟ್ಟಿ ಅನ್ನು ಅಳಿಸಲಾಗುವುದಿಲ್ಲ"
"Requested product doesn't exist","ವಿನಂತಿಸಿದ ಉತ್ಪನ್ನ ಅಸ್ತಿತ್ವದಲ್ಲಿಲ್ಲ"
"%1 has been updated in your requisition list.","%1 ಅನ್ನು ನಿಮ್ಮ ಬೇಡಿಕೆ ಪಟ್ಟಿಯಲ್ಲಿ ಪರಿಷ್ಕರಿಸಲಾಗಿದೆ."
"Product %1 has been added to the requisition list %2.","ಉತ್ಪನ್ನ %1 ನ್ನು %2 ಬೇಡಿಕೆ ಪಟ್ಟಿಗೆ ಸೇರಿಸಲಾಗಿದೆ."
"The SKU is out of stock.","SKU ದಾಸ್ತಾನಿನಲ್ಲಿಲ್ಲ."
"Could not save Requisition List. Maximum number of requisition lists was exceeded.","ಬೇಡಿಕೆ ಪಟ್ಟಿಯನ್ನು ಉಳಿಸಲಾಗಲಿಲ್ಲ. ಬೇಡಿಕೆ ಪಟ್ಟಿಯ ಗರಿಷ್ಟ ಮಿತಿ ಮೀರಿದೆ."
"Could not save requisition list. Invalid data provided","ಬೇಡಿಕೆ ಪಟ್ಟಿಯನ್ನು ಉಳಿಸಲಾಗಲಿಲ್ಲ. ಅಸಿಂಧುವಾದ ದತ್ತಾಂಶವನ್ನು ಕೊಡಲಾಗಿದೆ"
"Warning message.","ಎಚ್ಚರಿಕೆ ಸಂದೇಶ."
"No such requisition list could be found.","ಈ ರೀತಿಯ ಬೇಡಿಕೆ ಪಟ್ಟಿ ಯಾವುದೂ ಕಂಡುಬಂದಿಲ್ಲ."
"Not found",ಕಂಡುಬಂದಿಲ್ಲ
"Could not save",ಉಳಿಸಲಾಗಲಿಲ್ಲ
"Add to Requisition List","ಬೇಡಿಕೆ ಪಟ್ಟಿಗೆ ಸೇರಿಸಿ"
"Add Shopping Cart to Requisition List","ಶಾಪಿಂಗ್ ಬುಟ್ಟಿಯನ್ನು ಬೇಡಿಕೆ ಪಟ್ಟಿಗೆ ಸೇರಿಸಿ"
"Update Requisition List","ಬೇಡಿಕೆ ಪಟ್ಟಿಯನ್ನು ಪರಿಷ್ಕರಿಸಿ"
"Create Requisition List","ಬೇಡಿಕೆ ಪಟ್ಟಿಯನ್ನು ರಚಿಸಿ"
"%1 has been added to the ""<a href=""%2"">%3</a>"" requisition list.","""<a href=""%2"">%3</a>"" ಬೇಡಿಕೆ ಪಟ್ಟಿಗೆ %1 ಅನ್ನು ಸೇರಿಸಲಾಗಿದೆ."
"All the items in your Shopping Cart have been added to the ""%1"" requisition list.","ಶಾಪಿಂಗ್ ಬುಟ್ಟಿಯಲ್ಲಿರುವ ಎಲ್ಲಾ ವಸ್ತುಗಳನ್ನು %1 ಬೇಡಿಕೆ ಪಟ್ಟಿಗೆ ಸೇರಿಸಲಾಗಿದೆ."
"Create New Requisition List","ಹೊಸ ಬೇಡಿಕೆ ಪಟ್ಟಿಯನ್ನು ರಚಿಸಿ"
Rename,ಮರುಹೆಸರಿಸಿ
"Rename Requisition List","ಬೇಡಿಕೆ ಪಟ್ಟಿಯನ್ನು ಮರುಹೆಸರಿಸಿ"
"in requisition list","ಬೇಡಿಕೆ ಪಟ್ಟಿಯಲ್ಲಿ"
"Update List","ಶಾಪಿಂಗ್ ಬುಟ್ಟಿ ಪರಿಷ್ಕರಿಸಿ"
"Delete Requisition List","ಬೇಡಿಕೆ ಪಟ್ಟಿಯನ್ನು ಅಳಿಸಿ"
"You have no items in this requisition list.","ನಿಮ್ಮ ಬೇಡಿಕೆ ಪಟ್ಟಿಯಲ್ಲಿ ಯಾವುದೇ ವಸ್ತುಗಳಿಲ್ಲ."
"Edit item","ವಸ್ತುವನ್ನು ಸಂಪಾದಿಸಿ"
"With Selected","ಆರಿಸಿದುದರ ಜೊತೆಗೆ"
"Copy Selected","ಆರಿಸಿದುದನ್ನು ನಕಲಿಸಿ"
Copy,ನಕಲಿಸಿ
"Move Selected","ಆರಿಸಿದುದನ್ನು ಸರಿಸಿ"
"Remove Selected","ಆರಿಸಿದುದನ್ನು ತೆಗೆದುಹಾಕಿ"
"Are you sure you would like to remove selected items from the requisition list?","ನೀವು ಬೇಡಿಕೆ ಪಟ್ಟಿಯಿಂದ ಆರಿಸಿದ ವಸ್ತುಗಳನ್ನು ತೆಗೆದುಹಾಕಲು ಬಯಸುವಿರಾ?"
"product(s) require your attention","ಉತ್ಪನ್ನಗಳಿಗೆ ನಿಮ್ಮ ಗಮನ ಬೇಕಾಗಿದೆ"
"Requisition List Name","ಬೇಡಿಕೆ ಪಟ್ಟಿ ಹೆಸರು"
"The shopping cart isn't empty","ಶಾಪಿಂಗ್ ಬುಟ್ಟಿ ಖಾಲಿಯಿಲ್ಲ"
"Select Cancel to stay on the current page.","ಪ್ರಸ್ತುತ ಪುಟದಲ್ಲೇ ಉಳಿಯಲು ರದ್ದುಪಡಿಸಿ ಅನ್ನು ಆರಿಸಿ."
Merge,ಒಂದುಗೂಡಿಸಿ
"Add item to requisition list","ಬೇಡಿಕೆ ಪಟ್ಟಿಗೆ ವಸ್ತುವನ್ನು ಸೇರಿಸಿ"
"The item ""%1"" is already in the ""%2"" requisition list.","""%2"" ಬೇಡಿಕೆ ಪಟ್ಟಿಯಲ್ಲಿ ""%1"" ವಸ್ತು ಈಗಾಗಲೇ ಇದೆ."
"Add item","ವಸ್ತು ಸೇರಿಸಿ"
"Add items to requisition list","ಬೇಡಿಕೆ ಪಟ್ಟಿಗೆ ವಸ್ತುಗಳನ್ನು ಸೇರಿಸಿ"
"Some items in your Shopping Cart are already in the %1 requisition list.","ಶಾಪಿಂಗ್ ಬುಟ್ಟಿಯಲ್ಲಿರುವ ಕೆಲವು ವಸ್ತುಗಳು %1 ಬೇಡಿಕೆ ಪಟ್ಟಿಯಲ್ಲಿ ಈಗಾಗಲೇ ಇವೆ."
"Add items","ವಸ್ತುಗಳನ್ನು ಸೇರಿಸಿ"
Ok,ಓಕೆ
"Please Select Product","ದಯವಿಟ್ಟಿ ಉತ್ಪನ್ನವನ್ನು ಆರಿಸಿ"
"Please select at least one product to proceed.","ಮುಂದುವರೆಯಲು ದಯವಿಟ್ಟು ಕನಿಷ್ಟ ಒಂದು ಉತ್ಪನ್ನವನ್ನು ಆರಿಸಿ."
"Requisition List Section","ಬೇಡಿಕೆ ಪಟ್ಟಿ ವಿಭಾಗ"
"Enable Requisition List","ಬೇಡಿಕೆ ಪಟ್ಟಿಯನ್ನು ಸಕ್ರಿಯಗೊಳಿಸಿ"
"Number of Requisition Lists","ಬೇಡಿಕೆ ಪಟ್ಟಿಗಳ ಸಂಖ್ಯೆ"
"Name & Description","ಹೆಸರು ಮತ್ತು ವಿವರಣೆ"
"Latest Activity","ಇತ್ತೀಚಿನ ಚಟುವಟಿಕೆ"
"Save Review","ವಿಮರ್ಶೆಯನ್ನು ಉಳಿಸಿ"
"New Review","ಹೊಸ ವಿಮರ್ಶೆ"
"Review Details","ವಿಮರ್ಶೆ ವಿವರಗಳು"
"Product Rating","ಉತ್ಪನ್ನದ ಜನಪ್ರಿಯತೆ"
Nickname,ಅಡ್ಡಹೆಸರು
"Summary of Review","ವಿಮರ್ಶೆಯ ಸಾರಾಂಶ"
Review,ವಿಮರ್ಶೆ
"Delete Review","ವಿಮರ್ಶೆಯನ್ನು ಅಳಿಸಿ"
Author,ಲೇಖಕ
"Update Status","ಸ್ಥಿತಿಯನ್ನು ಪರಿಷ್ಕರಿಸಿ"
"All Reviews of Customer `%1`","`%1` ಗ್ರಾಹಕರ ಎಲ್ಲಾ ವಿಮರ್ಶೆಗಳು"
"All Reviews of Product `%1`","`%1` ಉತ್ಪನ್ನದ ಎಲ್ಲಾ ವಿಮರ್ಶೆಗಳು"
"All Reviews","ಎಲ್ಲಾ ವಿಮರ್ಶೆಗಳು"
"Product Store Name","ಉತ್ಪನ್ನದ ಮಳಿಗೆ ಹೆಸರು"
"Product Reviews","ಉತ್ಪನ್ನದ ವಿಮರ್ಶೆಗಳು"
"Review: %1 <br/>","ವಿಮರ್ಶೆ: %1 <br/>"
"Store: %1 <br/>","ಮಳಿಗೆ: %1 <br/>"
"Click <a href=""%1"">here</a> to see the review.","ವಿಮರ್ಶೆಯನ್ನು ವೀಕ್ಷಿಸಲು <a href=""%1"">ಇಲ್ಲಿ</a> ಕ್ಲಿಕ್ ಮಾಡಿ."
"Reviews %1","ವಿಮರ್ಶೆಗಳು %1"
Reviews,ವಿಮರ್ಶೆಗಳು
"The review has been deleted.","ವಿಮರ್ಶೆಯನ್ನು ಅಳಿಸಲಾಗಿದೆ."
"Something went wrong  deleting this review.","ವಿಮರ್ಶೆಯನ್ನು ಅಳಿಸುವಲ್ಲಿ ಎನೋ ತೊಂದರೆಯಾಗಿದೆ."
"Customer Reviews","ಗ್ರಾಹಕರ ವಿಮರ್ಶೆಗಳು"
"Edit Review","ವಿಮರ್ಶೆಯನ್ನು ಸಂಪಾದಿಸಿ"
"Please select review(s).","ದಯವಿಟ್ಟು ವಿಮರ್ಶೆ(ಗಳ) ನ್ನು ಆರಿಸಿ."
"Something went wrong while deleting these records.","ಈ ದಾಖಲೆ(ಗಳು) ಯನ್ನು ಅಳಿಸುವಲ್ಲಿ ಎನೋ ತೊಂದರೆಯಾಗಿದೆ."
"Something went wrong while updating these review(s).","ಈ ವಿಮರ್ಶೆ(ಗಳ) ನ್ನು ಪರಿಷ್ಕರಿಸುವಲ್ಲಿ ಎನೋ ತೊಂದರೆಯಾಗಿದೆ."
"You saved the review.","ನೀವು ವಿಮರ್ಶೆಯನ್ನು ಉಳಿಸಿದ್ದೀರಿ."
"Something went wrong while saving this review.","ಈ ವಿಮರ್ಶೆಯನ್ನು ಉಳಿಸುವಲ್ಲಿ ಎನೋ ತೊಂದರೆಯಾಗಿದೆ."
"My Product Reviews","ನನ್ನ ಉತ್ಪನ್ನದ ವಿಮರ್ಶೆಗಳು"
"We can't post your review right now.","ಸಧ್ಯಕ್ಕೆ ನಿಮ್ಮ ವಿಮರ್ಶೆಯನ್ನು ಪ್ರಕಟಿಸಲು ಸಾಧ್ಯವಾಗುತ್ತಿಲ್ಲ."
Approved,ಅನುಮೋದಿಸಿದೆ
"Not Approved",ಅನುಮೋದಿಸಿಲ್ಲ
"Please enter a review summary.","ದಯವಿಟ್ಟು ವಿಮರ್ಶೆಯ ಸಾರಾಂಶವನ್ನು ನಮೂದಿಸಿ."
"Please enter a nickname.","ದಯವಿಟ್ಟು ಅಡ್ಡಹೆಸರೊಂದನ್ನು ನಮೂದಿಸಿ."
"Please enter a review.","ದಯವಿಟ್ಟು ವಿಮರ್ಶೆಯನ್ನು ನಮೂದಿಸಿ."
"Assigned Options","ನಿಯೋಜಿಸಿದ ಆಯ್ಕೆಗಳು"
"Option Title:","ಆಯ್ಕೆಯ ಶೀರ್ಷಿಕೆ:"
"My Recent Reviews","ನನ್ನ ಇತ್ತೀಚಿನ ವಿಮರ್ಶೆಗಳು"
"View All","ಎಲ್ಲವನ್ನೂ ವೀಕ್ಷಿಸಿ"
"Your Review","ನಿಮ್ಮ ವಿಮರ್ಶೆ"
"Submitted on %1","%1 ರಂದು ಸಲ್ಲಿಸಿದೆ"
"Back to My Reviews","ನನ್ನ ವಿಮರ್ಶೆಗಳಿಗೆ ಹಿಂದಿರುಗಿ"
"Be the first to review this product","ಈ ಉತ್ಪನ್ನವನ್ನು ವಿಮರ್ಶಿಸುವಲ್ಲಿ ಮೊದಲಿಗರಾಗಿ"
"Write Your Own Review","ನಿಮ್ಮ ಸ್ವಂತ ವಿಮರ್ಶೆಯನ್ನು ಬರೆಯಿರಿ"
"You're reviewing:","ನೀವು ವಿಮರ್ಶಿಸುತ್ತಿದ್ದೀರಿ:"
"Submit Review","ವಿಮರ್ಶೆಯನ್ನು ಸಲ್ಲಿಸಿ"
"Add Your Review","ನಿಮ್ಮ ವಿಮರ್ಶೆಯನ್ನು ಸೇರಿಸಿ"
"%1 Review(s)","%1 ವಿಮರ್ಶೆ(ಗಳು)"
"Review by","ಇವರಿಂದ ವಿಮರ್ಶೆ"
"Posted on","ರಂದು ಪ್ರಕಟಿತವಾಗಿದೆ"
"Back to Product Reviews","ಉತ್ಪನ್ನದ ವಿಮರ್ಶೆಗಳಿಗೆ ಹಿಂದಿರುಗಿ"
"Please select one of each of the ratings above.","ದಯವಿಟ್ಟು ಮೇಲಿನ ಪ್ರತಿಯೊಂದು ರೇಟಿಂಗಿನಲ್ಲಿ ಒಂದನ್ನು ಆರಿಸಿಕೊಳ್ಳಿ."
"By Customers",ಗ್ರಾಹಕರಿಂದ
"By Products",ಉತ್ಪನ್ನಗಳಿಂದ
"Reward Points History","ಕೊಡುಗೆ ಅಂಕಗಳ ಇತಿಹಾಸ"
"Expired reward","ಅವಧಿ ಮೀರಿದ ಕೊಡುಗೆಗಳು"
"No Data",ದತ್ತಾಂಶವಿಲ್ಲ
"Currency Amount","ಕರೆನ್ಸಿ ಮೊತ್ತ"
"Reward Points Threshold","ಕೊಡುಗೆ ಅಂಕಗಳ ಮಿತಿ"
"Are you sure you want to delete these points?","ನೀವು ಈ ಅಂಕಗಳನ್ನು ಖಚಿತವಾಗಿಯೂ ಅಳಿಸಬಯಸುವಿರಾ?"
"Delete Orphan Points","ಅನಾಥ ಅಂಕಗಳನ್ನು ಅಳಿಸಿ"
"Update Points","ಅಂಕಗಳನ್ನು ಪರಿಷ್ಕರಿಸಿ"
"Reward Points Notifications","ಕೊಡುಗೆ ಅಂಕಗಳ ಅಧಿಸೂಚನೆಗಳು"
"Add New Rate","ಹೊಸ ದರವನ್ನು ಸೇರಿಸಿ"
Direction,ದಿಕ್ಕು
"Use your reward points; %1 are available.","ಕೊಡುಗೆ ಅಂಕಗಳನ್ನು ಬಳಸಿ; %1 ಲಭ್ಯವಿವೆ."
"You removed the orphan points.","ನೀವು ಅನಾಥ ಅಂಕಗಳನ್ನು ತೆಗೆದುಹಾಕಿದ್ದೀರಿ."
"You deleted the rate.","ನೀವು ದರವನ್ನು ಅಳಿಸಿದ್ದೀರಿ."
"You saved the rate.","ನೀವು ದರವನ್ನು ಉಳಿಸಿದ್ದೀರಿ."
"We can't save this rate right now.","ನಾವು ಸಧ್ಯಕ್ಕೆ ದರವನ್ನು ಪರಿಷ್ಕರಿಸಲಾಗಲಿಲ್ಲ."
"Please enter all rate information.","ದಯವಿಟ್ಟು ಎಲ್ಲಾ ದರದ ಮಾಹಿತಿಯನ್ನು ನಮೂದಿಸಿ."
"You saved the settings.","ನೀವು ಸಂಯೋಜನೆಯನ್ನು ಉಳಿಸಿದ್ದೀರಿ."
"%1 Reward points (%2)","%1 ಕೊಡುಗೆ ಅಂಕಗಳು(%2)"
"%1 Reward points","%1 ಕೊಡುಗೆ ಅಂಕಗಳು"
"Earned points for order #%1","ವ್ಯಾಪಾರಾದೇಶ #%1 ಕ್ಕೆ ಗಳಿಸಿದ ಅಂಕಗಳು"
"Registered as customer","ಗ್ರಾಹಕರಂತೆ ನೋಂದಾಯಿಸಲಾಗಿದೆ"
"For submitting a product review","ಉತ್ಪನ್ನದ ವಿಮರ್ಶೆ ಸಲ್ಲಿಕೆಗಾಗಿ"
"Points to Currency","ಅಂಕಗಳಿಂದ ಕರೆನ್ಸಿಗೆ"
"Currency to Points","ಕರೆನ್ಸಿಯಿಂದ ಅಂಕಗಳಿಗೆ"
Each,ಪ್ರತಿ
First,ಮೊದಲ
"Reward Points Balance","ಕೊಡುಗೆ ಅಂಕಗಳ ಬಾಕಿ"
Points,ಅಂಕಗಳು
"There is no balance history.","ಬಾಕಿ ಇತಿಹಾಸ ಇಲ್ಲ."
"Reward points balance Information","ಕೊಡುಗೆ ಅಂಕಗಳ ಬಾಕಿಯ ಮಾಹಿತಿ"
"Your balance is %1.","ನಿಮ್ಮ ಬಾಕಿ %1."
"%1 spent = %2 earned","%1 ಖರ್ಚುಮಾಡಿದ್ದು = %2 ಗಳಿಸಿದ್ದು"
"Balance limit is %1.","ಬಾಕಿ ಮಿತಿ %1."
"Email Notification Settings","ಮಿಂಚೆ ಅಧಿಸೂಚನೆ ಸಂಯೋಜನೆಗಳು"
"Reward points","ಕೊಡುಗೆ ಅಂಕಗಳು"
"Use reward points","ಕೊಡುಗೆ ಅಂಕಗಳನ್ನು ಬಳಸಿ"
"Your reward point was successfully applied","ನಿಮ್ಮ ಕೊಡುಗೆ ಅಂಕವನ್ನು ಯಶಸ್ವಿಯಾಗಿ ಅನ್ವಯಿಸಲಾಗಿದೆ"
"Manage Reward Points Balances","ಕೊಡುಗೆ ಅಂಕಗಳ ಬಾಕಿಯನ್ನು ನಿರ್ವಹಿಸಿ"
"Landing Page","ನೆಲೆದಾಣ ಪುಟ"
Purchase,ಖರೀದಿ
Registration,ನೋಂದಣಿ
"Converting Invitation to Customer","ಆಹ್ವಾನವನ್ನು ಗ್ರಾಹಕರಂತೆ ಬದಲಿಸಿ"
"Review Submission","ವಿಮರ್ಶೆ ಸಲ್ಲಿಕೆ"
"Expiry Warning Before (days)","ಅವಧಿ ಅಂತ್ಯದ ಎಚ್ಚರಿಕೆ (ದಿನಗಳ) ಮುನ್ನ"
"Reward Points Rates","ಕೊಡುಗೆ ಅಂಕಗಳ ದರಗಳು"
"Amount Balance","ಬಾಕಿ ಮೊತ್ತ"
"Add Reward Points","ಕೊಡುಗೆ ಅಂಕಗಳನ್ನು ಸೇರಿಸಿ"
"Submit Comment","ಅಭಿಪ್ರಾಯ ಸಲ್ಲಿಸಿ"
Split,ವಿಭಜಿಸಿ
"Remaining Qty","ಉಳಿದಿರುವ ಪರಿಮಾಣ"
"Requested Qty","ವಿನಂತಿಸಿದ ಪರಿಮಾಣ"
"Add Details","ವಿವರಗಳನ್ನು ಸೇರಿಸಿ"
"Invalid order","ಅಸಿಂಧುವಾದ ವ್ಯಾಪಾರಾದೇಶ"
"Please enter a tracking number.","ದಯವಿಟ್ಟು ಟ್ರಾಕಿಂಗ್ ಸಂಖ್ಯೆಯನ್ನು ನಮೂದಿಸಿ."
"Tracking Information","ಟ್ರಾಕಿಂಗ್ ಮಾಹಿತಿ"
"Order # ","ವ್ಯಾಪಾರಾದೇಶ # "
"Ordered: ","ವ್ಯಾಪಾರಾದೇಶಿಸಿದ: "
"Authorized Qty","ದೃಢೀಕರಿಸಿದ ಪರಿಮಾಣ"
"Approved Qty","ಅನುಮೋದಿಸಿದ ಪರಿಮಾಣ"
Denied,ನಿರಾಕರಿಸಿದೆ
"The entity that was requested doesn't exist. Verify the entity and try again.","ವಿನಂತಿಸಿದ ಉತ್ಪನ್ನವು ಕಂಡುಬಂದಿಲ್ಲ. ಉತ್ಪನ್ನವನ್ನು ಪರಿಶೀಲಿಸಿ ಮತ್ತು ಮತ್ತೆ ಪ್ರಯತ್ನಿಸಿ."
"Please enter a valid comment.","ದಯವಿಟ್ಟು ಸರಿಯಾದ ಅಭಿಪ್ರಾಯವನ್ನು ನಮೂದಿಸಿ."
"All Items","ಎಲ್ಲಾ ವಸ್ತುಗಳು"
"RMA Totals","RMA ಮೊತ್ತಗಳು"
"Request Details","ವಿನಂತಿ ವಿವರಗಳು"
"Customer Name","ಗ್ರಾಹಕರ ಹೆಸರು"
"RMA History","RMA ಇತಿಹಾಸ"
"Comment Text","ಅಭಿಪ್ರಾಯ ಪಠ್ಯ"
"Customer Service","ಗ್ರಾಹಕ ಸೇವೆ"
"Delete Line","ಸಾಲನ್ನು ಅಳಿಸಿ"
Number,ಸಂಖ್ಯೆ
Sub-items,ಉಪ-ವಸ್ತುಗಳು
"Remaining Quantity:","ಉಳಿದಿರುವ ಪರಿಮಾಣ:"
Length,ಉದ್ದ
"Total Weight","ಒಟ್ಟು ತೂಕ"
"Request Information","ಮಾಹಿತಿ ವಿನಂತಿಸಿ"
"Date Requested","ವಿನಂತಿಸಿದ ದಿನಾಂಕ"
"Shipping and Tracking Information","ರವಾನೆ ಮತ್ತು ಟ್ರಾಕಿಂಗ್ ಮಾಹಿತಿ"
"Track this shipment","ಈ ರವಾನೆಯನ್ನು ಟ್ರಾಕ್ ಮಾಡಿ"
"Request Qty","ವಿನಂತಿಸಿದ ಪರಿಮಾಣ"
"Hide Details","ವಿವರಗಳನ್ನು ಅಡಗಿಸಿ"
"Show Details","ವಿವರಗಳನ್ನು ತೋರಿಸಿ"
"Questions and Answers","ಪ್ರಶ್ನೆ ಮತ್ತು ಉತ್ತರಗಳು"
Questions,ಪ್ರಶ್ನೆಗಳು
Answers,ಉತ್ತರಗಳು
"Leave Comment","ಅಭಿಪ್ರಾಯ ನೀಡಿ"
"RMA Settings","RMA ಸಂಯೋಜನೆಗಳು"
"Use Store Address","ಮಳಿಗೆ ವಿಳಾಸ ಬಳಸಿ"
"Contact Name","ಸಂಪರ್ಕದ ಹೆಸರು"
"RMA Email Sender","RMA ಮಿಂಚೆ ರವಾನೆದಾರ"
"RMA Email Template","RMA ಮಿಂಚೆಯ ಮಾದರಿ"
"RMA Authorization","RMA ದೃಢೀಕರಣ"
"Enabled for RMA","RMA ಗಾಗಿ ಸಕ್ರಿಯವಾಗಿದೆ"
"Any message","ಯಾವುದೇ ಸಂದೇಶ"
Feed,ಫೀಡ್‌
"Get Feed","ಫೀಡ್ ಪಡೆಯಿರಿ‌"
"RSS Feeds Section","RSS ಫೀಡ್‍ಗಳ ವಿಭಾಗ"
"RSS Feeds","RSS ಫೀಡ್‍ಗಳು"
"Enable RSS","RSS ಸಕ್ರಿಯಗೊಳಿಸಿ"
"Please choose a valid discount amount.","ದಯವಿಟ್ಟು ಸರಿಯಾದ ರಿಯಾಯಿತಿ ಮೊತ್ತವನ್ನು ಆರಿಸಿ."
"Please specify Customer Groups.","ದಯವಿಟ್ಟು ಗ್ರಾಹಕರ ಗುಂಪನ್ನು ನಮೂದಿಸಿ."
ALL,ಎಲ್ಲಾ
ANY,ಯಾವುದೇ
TRUE,ನಿಜ
FALSE,ಸುಳ್ಳು
"Create New Order","ಹೊಸ ವ್ಯಾಪಾರಾದೇಶವನ್ನು ರಚಿಸಿ"
"Save Order Address","ವ್ಯಾಪಾರಾದೇಶದ ವಿಳಾಸ ಉಳಿಸಿ"
Billing,ಬಿಲ್ಲಿಂಗ್
"Order Address Information","ವ್ಯಾಪಾರಾದೇಶ ವಿಳಾಸದ ಮಾಹಿತಿ"
"Submit Order","ವ್ಯಾಪಾರಾದೇಶ ಸಲ್ಲಿಸಿ"
